latitude,longitude
42.863161,-112.431484
42.863819,-112.432326
42.861655,-112.435324
42.858345,-112.433424
42.862260,-112.431365
42.866536,-112.429362
42.861889,-112.433591
42.862226,-112.436119
42.862607,-112.435472
42.862919,-112.435074
42.861092,-112.435890
42.860247,-112.432155
42.862658,-112.434339
42.860515,-112.435284
42.859969,-112.434683
42.860273,-112.433621
42.860657,-112.432675
42.861373,-112.433075
42.857183,-112.428707
42.859180,-112.432131
42.859064,-112.432359
42.857506,-112.429009
42.858495,-112.432255
42.858135,-112.431770
42.859074,-112.432332
42.857693,-112.431000
42.857849,-112.432183
42.857949,-112.432984
42.857411,-112.431661
42.858044,-112.432425
42.864358,-112.436985
42.865661,-112.439392
42.862008,-112.432458
42.862534,-112.432846
42.858086,-112.429796
42.863106,-112.433886
42.863915,-112.434539
42.863182,-112.432957
42.862712,-112.432214
42.862664,-112.430395
42.862941,-112.429381
42.863410,-112.428469
42.864149,-112.428415
42.864430,-112.429032
42.865049,-112.430674
42.865660,-112.431266
42.864760,-112.430946
42.864341,-112.431325
42.864446,-112.433185
42.865010,-112.432434
42.857967,-112.423905
42.860792,-112.425737
42.859068,-112.427347
42.861071,-112.428871
42.869923,-112.428581
42.866144,-112.429131
42.860320,-112.430899
42.864263,-112.434326
42.867315,-112.427602
42.866531,-112.427844
42.866531,-112.429355
42.867614,-112.430016
42.868278,-112.430267
42.868066,-112.429647
42.867717,-112.429519
42.867622,-112.429977
42.862026,-112.438744
42.858136,-112.431726
42.861388,-112.437792
42.855646,-112.436737
42.911670,-112.589482
42.869693,-112.429762
42.850823,-112.411085
42.861820,-112.433044
42.857548,-112.437964
